Название,Юрлицо или физлицо,Год признания,Дата внесения,Статус,Сфера деятельности,Описание деятельности,Причина признания,Экстремистская организация,Прекратили работу,Исключена из реестра,Год исключения,Причина исключения
Автономная некоммерческая организация «Ганзейское бюро/ Информационное бюро земли Шлезвиг-Гольштейн в Калининграде»,Юрлицо,2016,5/24/2016,«Иностранный агент» (НКО),Поддержка местного сообщества,"«Ганзейское бюро» было открыто в Калининграде в 1992 году. Сначала оно функционировало как представительство немецкого «Союза содействия образованию молодежи», затем как информационное бюро правительства земли Шлезвиг-Гольштейна (с 1999 года Шлезвиг-Гольштейн и Калининградская область являются регионами-партнерами). Цели организации — установление экономических контактов между Северной Германией и Калининградом, а также российско-немецкое сотрудничество в области культуры, образования и спорта. «Ганзейское бюро» содействовало организации и проведению в Калининграде фестивалей «Территория кино», «Музыкальная весна», а также различных семинаров.

В мае 2016 года «Ганзейское бюро» было признано «иностранным агентом», после чего организация прекратила свою деятельность. Впоследствии организация была воссоздана под новым названием — «Ганзейский офис Калининград».",Организация была признана «иностранным агентом» после внеплановой проверки Минюста.,,checked,checked,2016,Прекращение деятельности НКО
Региональная общественная организация «Школа экологии Души «Тенгри»,Юрлицо,2016,5/18/2016,«Иностранный агент» (НКО),Поддержка местного сообщества,"«Школа экологии Души «Тенгри» была основана в 1995 году «с целью реанимации традиционного знания Алтая путем реализации целостной системы мероприятий и действий, которые могли бы способствовать сохранению, укреплению и воссозданию взаимосвязи между коренным народом и Священной Землёй». В 2001 году по инициативе «Тенгри» в долине Каракол было решено организовать особо охраняемую природную территорию Республики Алтай «Каракольский (этно)природный парк «Уч Энмек».

После признания организации «иностранным агентом» в 2016 году из нее вышли все участники за исключением известного политика и эко-активиста Данилы Мамыева. Таким образом, школа «Тенгри» лишилась руководящего состава, утратив признаки общественной организации, что и послужило основанием для ее ликвидации.
    ","Организация была признана «иностранным агентом» после внеплановой проверки Минюста.
",,checked,checked,2017,Прекращение деятельности НКО
Автономная некоммерческая организация «Издательский дом „Валентин Мануйлов“»,Юрлицо,2016,4/15/2016,«Иностранный агент» (НКО),СМИ,«Издательский дом „Валентин Мануйлов“» занимался изданием пензенской общественно-политической газеты «Улица Московская».,"Получил финансирование от фонда поддержки российских СМИ «Среда», также признанного «иноагентом». Публиковал критические материалы о властях.",,checked,checked,2020,Прекращение деятельности НКО
Региональная общественная экологическая организация Республики Алтай «Архар»,Юрлицо,2016,4/6/2016,«Иностранный агент» (НКО),Защита окружающей среды,Эко-организация Алтая «Архар» была создана в 2004 году. Основной ее задачей было сохранение редких и исчезающих видов животных Горного Алтая и сопредельных территорий (прежде всего — снежного барса и аргали).,"Организация получала финансирование из американских и швейцарских фондов. В качестве политической деятельности указано «воздействие на принятие государственными органами решений, направленных на изменение проводимой ими государственной политики, проведение публичных мероприятий и формирование общественного мнения».",,checked,checked,2016,Прекращение деятельности НКО
Автономная некоммерческая организация «Центр социально-трудовых прав»,Юрлицо,2016,3/22/2016,«Иностранный агент» (НКО),Профсоюзы и профессиональные организации,"«Центр социально-трудовых прав» — российская неправительственная некоммерческая организация, содействующая продвижению, соблюдению и защите прав в сфере социально-трудовых отношений. Организация была основана в 1999 году. Среди направлений работы «Центра социально-трудовых прав» — юридическая поддержка в сфере трудовых отношений, просвещение и информирование о трудовых правах и их защите, организация общественных дискуссий, конференций и других мероприятий по актуальным вопросам трудовых отношений, профсоюзное обучение и консультирование.

В марте 2016 года «Центр социально-трудовых прав» был включен Минюстом в перечень организаций, выполняющих функции «иностранного агента». Однако организация успешно оспорила данное решение и была исключена из реестра.","Политическая деятельность. Таковой сочли:
1. Участие в круглом столе «Ликвидация групп полного дня для детей в возрасте до трех лет в детских садах» в Общественной палате РФ.
2. Проведение стратегической сессии «Защита трудовых прав граждан: трудности и необходимые решения» на IV Социальном форуме России, (организаторами которого были Государственная Дума и Правительство РФ).
3. Издание научной публикации «Международные трудовые стандарты и российское трудовое законодательство».
Организация оспорила решение и выиграла суд, который счел решение Минюста необоснованным.",,,checked,2017,Прекращение иностранного финансирования и (или) политической деятельности
National Democratic Institute for International Affairs (Национальный Демократический Институт Международных Отношений) (США)                                                        ,Юрлицо,2016,3/17/2016,«Нежелательная организация»,Политические объединения,"Национальный Демократический Институт Международных Отношений — это негосударственная организация, созданная правительством США для продвижения демократии в развивающихся странах. Финансируется она Национальным фондом демократии (NED) и частными фондами. Организация «оказывает практическую помощь общественным и политическим деятелям, продвигающим демократические ценности и институты, работает с демократами в различных регионах мира и помогает в создании политических и общественных организаций, в обеспечении честных выборов и в продвижении гражданского участия, открытости и ответственности в правительствах».

В России организация начала работу в 1980-е годы: проводила политические тренинги и дебаты, международный обмен опытом для молодых политиков.","Национальный Демократический Институт Международных Отношений был признан «нежелательной» организацией, так как, по данным Генпрокуратуры, он представляет угрозу основам конституционного строя России и безопасности государства.",,,,,
Пермская городская общественная организация «Центр гражданского образования и прав человека»,Юрлицо,2016,3/14/2016,«Иностранный агент» (НКО),"""Социально-просветительские инициативы, образовательные проекты""","«Центр гражданского образования и прав человека» занимается защитой интересов студентов, мигрантов, школьников, учителей, сотрудников различных организаций. Миссия организации — просвещение и воспитание населения, прежде всего молодежи, в духе идей толерантности, ненасилия, миротворчества, уважения к правам человека, идеалам демократии и гуманизма. Самые крупные проекты — «Права человека для милиции», «Уроки толерантности», «2005 — год гражданского образования».","«Центр гражданского образования и прав человека» был признан «иностранным агентом», так как Минюст счел политической деятельностью издание методического пособия для учителей «Изучение в школе истории сталинских репрессий».",,,checked,2021,Прекращение деятельности НКО
"Некоммерческая организация Международный Фонд развития коренных малочисленных народов Севера, Сибири и Дальнего Востока «Батани»",Юрлицо,2016,3/11/2016,«Иностранный агент» (НКО),Этнические объединения и поддержка коренных народов,"Международный фонд развития коренных малочисленных народов Севера, Сибири и Дальнего Востока «Батани» был основан в 2004 году по инициативе руководства Ассоциации коренных малочисленных народов Севера, Сибири и Дальнего Востока, а также датской организации TGK Consult. Миссия фонда — защита прав коренных малочисленных народов Севера «путем информирования, просвещения и активизации представителей малых народов Севера в политической и экономической жизни страны и за её пределами».

В 2016 году организация была признана «иностранным агентом», а год спустя фонд «Батани» был ликвидирован по решению Московского городского суда.
  ","«Батани» была признана «иностранным агентом» после проверки Минюста, в ходе которой выяснилось, что организация имеет иностранные источники финансирования.",,checked,checked,2017,Прекращение деятельности НКО
Благотворительный фонд социально-правовой помощи «Сфера»,Юрлицо,2016,3/1/2016,«Иностранный агент» (НКО),Поддержка ЛГБТК+,"«Сфера» содействует обеспечению равных прав и уважению человеческого достоинства независимо от сексуальной ориентации и гендерной идентичности, предоставляет социально-правовые услуги представителям ЛГБТК-сообщества и их близким.  ","«Сфера» была признана «иноагентом» после проверки Минюста, в ходе которой обнаружилось, что организация занимается политической деятельностью и финансируется из иностранных источников.",,,,,
Челябинский региональный орган общественной самодеятельности «Уральская правозащитная группа»,Юрлицо,2016,2/16/2016,«Иностранный агент» (НКО),Поддержка местного сообщества,"Работа «Уральской правозащитной группы» направлена на борьбу за соблюдение прав человека в Челябинской области, в том числе в закрытых городах и на близлежащих территориях, а также на помощь преследуемым властями за убеждения и пострадавшим от произвола правоохранительных органов. Наиболее значимые программы, реализованные группой: «Защита прав человека в закрытом городе», «Спецпрокуратуры — нарушение Конституции России», «Борьба с институтом спецмилиции в закрытых городах», «Правовая неотложка», «Школа демократии».","«Уральская правозащитная группа» была признана «иностранным агентом», так как получала иностранное финансирование от Норвежского Хельсинского комитета.",,,,,
Омская региональная общественная организация «Центр охраны здоровья и социальной защиты „СИБАЛЬТ“»,Юрлицо,2016,2/15/2016,«Иностранный агент» (НКО),Профилактика ВИЧ и помощь наркозависимым,"«СИБАЛЬТ» — это крупнейшая негосударственная организация на территории Омской области, работающая в сфере профилактики ВИЧ и других инфекций, передаваемых половым путем. Организация реализует социально значимые просветительские, информационные и правозащитные программы.","Признан «иноагентом» вместе с другими ВИЧ-сервисными организациями именно в 2016 году (НКО «Эсверо» из Москвы, «Социумом» из Саратова и фондом Андрея Рылькова, тоже из Москвы), без каких-то дополнительных причин. Бюджет организации в основном формируется из пожертвований различных иностранных и международных фондов. ",,,,,
Челябинский региональный орган общественной самодеятельности — женское общественное объединение «Женщины Евразии»,Юрлицо,2016,2/15/2016,«Иностранный агент» (НКО),Защита прав женщин,"Работа общественного объединения «Женщины Евразии» направлена на поддержку семей, имеющих детей с инвалидностью, поддержку неполных семей и правовую поддержку женщин и детей.

С 2006 года объединение реализует программу «Больничные сироты», направленную на создание благоприятных условий для развития и пребывания детей-сирот в больницах.","«Женщины Евразии» были признаны «иностранным агентом», так как, по данным Минюста, организация получала иностранное финансирование от благотворительного фонда посольства Великобритании в Москве «Magna Karta». По заявлению создателей, никакого финансирования из-за рубежа у объединения не было.",,,,,
Челябинский региональный общественный фонд поддержки демократии «Уральский демократический фонд»,Юрлицо,2016,2/15/2016,«Иностранный агент» (НКО),Помощь заключенным и осужденным,"«Уральский демократический фонд» предоставляет правовое и информационное сопровождение гражданам и родственникам тех, чьи права нарушены (участие представителя в суде, подготовка материалов по делу для СМИ и т.д.). Кроме того, фонд ведет просветительскую работу по распространению знаний о правах человека среди учителей, студентов, школьников, журналистов, сотрудников правоохранительных органов, заключенных. Основные направления деятельности: правовая помощь родственникам заключенных в приемных следственных изоляторов (СИЗО), борьба с пытками и дискриминацией в местах лишения свободы, просветительская деятельность в области прав человека и развития гражданского общества.

",Причина признания организации «иноагентом» не указана.,,,checked,2017,Прекращение иностранного финансирования и (или) политической деятельности
Городская общественная организация «Рязанское историко-просветительское и правозащитное общество «Мемориал» (Рязанский Мемориал),Юрлицо,2016,2/3/2016,«Иностранный агент» (НКО),Правозащитные организации широкого профиля,"Рязанский «Мемориал» издает исторический и правозащитный журнал «Карта». Сотрудники организации оказывают юридическую помощь тысячам социально незащищенных жителей Рязанской области, а также ведут работу по восстановлению кладбищ.","Иностранное финансирование Норвежским Хельсинским комитетом, Фондом Джона Д. и Кэтрин Т. МакАртуров, Институтом Открытого Общества Фонда Содействия и Пражским гражданским центром. ",,,,,
Санкт-Петербургская общественная организация «Общество содействия социальной защите граждан „Петербургская ЭГИДА“»,Юрлицо,2016,2/2/2016,«Иностранный агент» (НКО),Профсоюзы и профессиональные организации,"«Петербургская ЭГИДА» оказывала помощь наемным работникам и социально уязвимым группам населения, способствовала защите социально-трудовых прав и интересов и повышению уровня и качества жизни в Северо-Западном регионе. Самые крупные кампании ЭГИДы: кампания за изменение порядка выплаты пособий по беременности, родам и уходу за детьми до 1,5 лет из средств Фонда социального страхования, минуя работодателей; кампания весны 2012 года за проведение открытых выборов Уполномоченного по правам человека в Санкт-Петербурге (по итогам выборов второе место заняла президент ОО «Петербургская ЭГИДА» Рима Шарифуллина).","Пользовались средствами, полученными из Швеции и Германии. По мнению Минюста, оказывала «воздействие на принятие государственными органами решений, направленных на изменение проводимой ими государственной политики» посредством «проведения публичных мероприятий» и «формирования общественного мнения».",,checked,checked,2016,Прекращение деятельности НКО
Нижегородская региональная общественная организация «Институт прогнозирования и урегулирования политических конфликтов»,Юрлицо,2016,1/22/2016,«Иностранный агент» (НКО),Исследовательские организации,"«Институт прогнозирования и урегулирования политических конфликтов» (ИПК) занимался изучением ситуации в СНГ и других государств Северного Кавказа, Ближнего Востока и Латинской Америки «для выявления факторов риска и предупреждения возможных проявлений сепаратизма со стороны разновекторных политических сил, направленных на удержание и усиление своего влияния». Среди партнеров организации — Институт Евразии (Грузия), Открытый диалог (Россия), а также итальянские, французские, немецкие и канадские организации. ","«Институт прогнозирования и урегулирования политических конфликтов» сам направил в Минюст заявление о признании себя «иноагентом», так как организация сотрудничала с международными проектами.",,checked,checked,2018,Прекращение деятельности НКО
Межрегиональная общественная организация «Бюро общественных расследований»,Юрлицо,2016,1/14/2016,«Иностранный агент» (НКО),Правозащитные организации широкого профиля,Бюро общественных расследований — партнер «Комитета по предотвращению пыток». ,"Бюро получало иностранные гранты, политической деятельностью Минюстом признана оплата экспертиз и программ реабилитации жертв пыток.",,checked,checked,2018,Прекращение деятельности НКО
Межрегиональная общественная организация «Комитет по предотвращению пыток»,Юрлицо,2016,1/14/2016,«Иностранный агент» (НКО),Правозащитные организации широкого профиля,"«Комитет по предотвращению пыток» — правозащитная организация, которая занимается расследованиями дел о применении пыток. Появилась она в 2000 году с целью побудить прокуратуру к активным действиям по раскрытию данного вида преступлений и привлечению виновных к уголовной ответственности. К наиболее известным делам Комитета относятся дело подвергшегося жестоким побоям в отделе милиции Алексея Михеева, а также расследование фактов массового избиения жителей Благовещенска. «Комитет против пыток» также занимается защитой прав человека на территории Северного Кавказа.

Эта НКО была учреждена в 2016 году членами «Комитета против пыток», который был признан «иноагентом».

На данный момент «Комитет против пыток» работает как незарегистрированная общественная организаций без юридического лица и расчетного счета.","Иностранным финансированием управление Минюста сочло тот факт, что большинство членов Комитета получали зарплату в другой организации, признанной «иноагентом» — Бюро общественных расследований — и платили взносы в фонд Комитета",,checked,checked,2017,Прекращение деятельности НКО
Городская общественная организация «Екатеринбургское общество „Мемориал“»,Юрлицо,2015,12/30/2015,«Иностранный агент» (НКО),Исследовательские организации,"Екатеринбургское общество «Мемориал» занимается сбором информации о политических репрессиях. Сотрудники организации пополняют списки репрессированных, участвуют в акциях памяти и ведут просветительскую работу.
","Екатеринбургское общество «Мемориал» было признано «иностранным агентом», так как, по данным Минюста, организация получила через посредника, исследовательско-просветительский центр «Мемориал», имеющий статус иностранного агента, порядка 175 тысяч рублей. Эти деньги, по данным контролирующих органов, ИПЦ «Мемориал» получил от резидента США, фонда «NED».",,,,,
Забайкальское краевое общественное учреждение «Общественный экологический центр „Даурия“»,Юрлицо,2015,12/30/2015,«Иностранный агент» (НКО),Защита окружающей среды,"Общественный экологический центр «Даурия» работал на территории Забайкальского края с 1998 года. Основное направление его деятельности — поддержка и содействие развитию охраняемых природных территорий, а также мониторинг решений и законов в экологической сфере.Активисты центра участвовали в общероссийских экологических проектах, занимались уборкой мусора на крупных водоемах Забайкалья, вели информационно-просветительские кампании и помогали местным сообществам в получении грантов


. Центр был ликвидирован в 2015 году.
","«Даурия» была признана «иностранным агентом» после проверки Минюста, в ходе которой выяснилось, что организация занимается политической деятельностью, а также имеет финансирование от российского филиала британского благотворительного фонда.",,checked,checked,2016,Прекращение деятельности НКО
Региональная общественная организация «Информационно-исследовательский центр «Панорама»,Юрлицо,2016,12/18/2015,«Иностранный агент» (НКО),Исследовательские организации,"Информационно-исследовательский центр «Панорама» — это независимая общественная организация, занимавшаяся исследованиями в области общественно-политических наук. Руководителем Центра был известный политолог и историк Владимир Прибыловский. Основные информационные продукты, выпускавшиеся «Панорамой», — справочно-аналитические издания и базы данных. К ним относятся гипертекстовая информационная система «Лабиринт» и база данных биографий общественных деятелей «Просопограф». ","Центр «Панорама» был признан «иноагентом», так как получал иностранное финансирование (гранты от National Endowment for Democracy, признанного «нежелательной организацией»). Политической деятельностью Минюст счел реализацию организацией научно-исследовательского проекта по анализу политических процессов в России.",,checked,checked,,Прекращение деятельности НКО
Калининградская региональная общественная организация содействия развитию женского сообщества «Мир женщины»,Юрлицо,2015,12/11/2015,«Иностранный агент» (НКО),Защита прав женщин,"«Мир женщины» — калининградская общественная организация, занимавшаяся развитием женского сообщества, профилактикой и предотвращением бытового насилия (в рамках работы ресурсного центра для женщин «Твоя жизнь в твоих руках»), развитием ремесла и рукоделия в регионе (проект «Творчество Балтии», объединивший более 1500 творческих людей и занимавшийся организацией ярмарок и арт-фестивалей). 

В 2015 году организация была внесена в список «иностранных агентов», но через два года после обжалования в суде статус был отменен.","«Мир женщины» был признан «иноагентом», так как Минюст счел «проведение организацией встречи общественных деятелей и депутатов в Калининграде, на которой обсуждались проблемные вопросы избирательного законодательства» политической деятельностью.

Иностранное финансирование организация не получала. Однако Минюст решил, что средства, полученные ею от двух российских НКО на реализацию проектов по профилактике женского насилия, получены из иностранных источников.
",,,checked,2017,Прекращение иностранного финансирования и (или) политической деятельности
Автономная некоммерческая организация «Правозащитная организация „МАШР“»,Юрлицо,2015,12/8/2015,«Иностранный агент» (НКО),Правозащитные организации широкого профиля,"«МАШР» — правозащитная организация, оказывающая бесплатную юридическую помощь и информационную поддержку жителям Ингушетии. Основное место в работе организации занимает проблема похищения людей: юристы оказывают помощь родственникам пропавших, жертвам внесудебных казней, а также вынужденным переселенцам из Северной Осетии и Чеченской Республики. На сайте организации ведётся пофамильный список убитых и пропавших без вести граждан.","В ходе проверки Минюста было установлено, что организация занимается политической деятельностью и получает иностранное финансирование. Руководитель Магомед Муцольгов был назван «связью между НКО антироссийской направленности, находящиеся на территории Грузии, США и стран Европы», «Муцольгов в целях осуществления подрывной деятельности … предпринимает действия, направленные на возникновение межконфессиональных конфликтов на территории СКФО».",,,checked,2017,Прекращение иностранного финансирования и (или) политической деятельности
U.S. RUSSIA FOUNDATION FOR ECONOMIC ADVANCEMENT AND THE RULE OF LAW («Американо-российский фонд по экономическому и правовому развитию»),Юрлицо,2015,12/7/2015,«Нежелательная организация»,Политические объединения,"«Американо-российский фонд по экономическому и правовому развитию» поддерживал некоммерческие проекты, направленные на экономическое и правовое развитие, а также поддержку предпринимательства. Приоритетными для него были такие направления, как экономическое право, финансовая грамотность, защита интеллектуальной собственности, улучшение бизнес-климата. Фонд поддержал более 50 проектов, направленных, в основном, на образовательно-просветительскую деятельность, в том числе «Программа развития научно-исследовательского и предпринимательского потенциала российских университетов ЭВРИКА», «Летняя программа им. Егора Гайдара для молодых лидеров в области экономики YGSLP», «Форум экспертов в области экономики и предпринимательства EEEF».","«Американо-российский фонд по экономическому и правовому развитию» был признан «нежелательной» организацией, так как, по данным Генпрокуратуры, он представляет угрозу основам конституционного строя России и безопасности государства. Организация оказывала финансовую поддержку российским НКО, признанным «иностранными агентами».",,,,,
Общественная благотворительная экологическая организация «Зеленый Мир»,Юрлицо,2015,12/2/2015,«Иностранный агент» (НКО),Защита окружающей среды,"Экологическая организация «Зеленый Мир» занимается мониторингом ситуации с безопасностью Ленинградской АЭС в Сосновом Бору и отслеживанием экологической ситуации на побережье Балтийского моря. До ликвидации «Зеленый Мир» реализовывал проект, связанный с изучением мирового опыта закрытия атомных станций, выработавших свой ресурс, организовывал совместные поездки парламентариев и представителей атомного бизнеса в страны, успешно решающие эту проблему, — в Финляндию, Швецию, США. После включения в список «иностранных агентов» продолжает свою работу на волонтерской основе.",Причина признания организации «Зеленый Мир» «иноагентом» в реестре не указана.,,checked,checked,2016,Прекращение деятельности НКО
Петербургская общественная благотворительная экологическая организация «Зеленый мир»,Юрлицо,2015,12/2/2015,«Иностранный агент» (НКО),Защита окружающей среды,"Старейшая экологическая организация Петербурга «Зеленый мир» 28 лет занималась наблюдением за безопасностью на Ленинградской АЭС. Активистами были ученые-ядерщики и бывшие работники электростанции. Для изучения мирового опыта закрытия атомных станций, выработавших свой ресурс, «Зеленый мир» устраивал совместные поездки парламентариев и представителей атомного бизнеса в Швецию, Финляндию и США. По результатам поездок проводились круглые столы и снимались документальные фильмы. 

В 2016 «Зеленый мир» объявил о самоликвидации.","В Минюсте сочли, что организация зарубежных поездок для Для изучения мирового опыта закрытия атомных станций направлена на изменение проводимой российскими властями политики, и в 2015 году внесли организацию в реестр «иноагентов».",,checked,checked,2016,Прекращение деятельности НКО
